Results of cspell linter (version 4.1.3)
See documentation on https://nvuillam.github.io/mega-linter/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /tmp/lint
Linter raw log:
/tmp/lint/.github/labeler.yml:16:1 - Unknown word (archi)
/tmp/lint/.github/workflows/tslint.yml:10:3 - Unknown word (tslinting)
/tmp/lint/.github/workflows/tslint.yml:18:15 - Unknown word (mooyoul)
/tmp/lint/.nyc_output/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:9 - Unknown word (lanath)
/tmp/lint/.nyc_output/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:67 - Unknown word (lanath)
/tmp/lint/.nyc_output/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:949 - Unknown word (lanath)
/tmp/lint/.nyc_output/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:1005 - Unknown word (lanath)
/tmp/lint/.nyc_output/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:6037 - Unknown word (cond)
/tmp/lint/.nyc_output/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:6284 - Unknown word (cond)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:9 - Unknown word (lanath)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:67 - Unknown word (lanath)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:1116 - Unknown word (lanath)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:1177 - Unknown word (lanath)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:1262 - Unknown word (GAAG)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:1288 - Unknown word (GAAG)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:1298 - Unknown word (MAAM)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:1348 - Unknown word (GAAG)
